region	year	logc	logp	logpn	logy
1	0	4.48187197	0.022728251	-0.083881484	4.147724404
2	0	4.750135956	-0.105999289	-0.074550157	4.358906139
3	0	4.644390899	-0.118861203	-0.175448678	4.120516135
4	0	4.822697999	0.017094433	-0.105999289	4.663844494
5	0	4.964242255	-0.105999289	-0.080761357	4.718353552
6	0	5.104732617	-0.083881484	-0.118861203	4.476998496
7	0	5.412984442	-0.264953821	-0.250083659	4.680570368
8	0	4.862135286	-0.083881484	-0.04405999	4.409469967
9	0	4.65396035	-0.04405999	-0.165227123	4.286604062
10	0	4.596129441	-0.083881484	-0.074550157	4.297846011
11	0	4.887337078	0.022728251	-0.280048448	4.634085704
12	0	4.900076104	-0.155108993	-0.280048448	4.446947146
13	0	4.693181063	0.042200354	-0.175448678	4.429140501
14	0	4.606169686	-0.071458964	-0.175448678	4.438434134
15	0	4.96144505	-0.280048448	-0.250083659	4.235759469
16	0	4.764734756	-0.068377297	-0.118861203	4.239137296
17	0	4.909709376	-0.083881484	-0.151758906	4.318703554
18	0	4.801559	-0.118861203	-0.264953821	4.502614552
19	0	4.852030264	0.008583744	-0.151758906	4.582358024
20	0	4.899331225	-0.083881484	-0.155108993	4.497910418
21	0	4.733563401	-0.062242309	-0.074550157	4.414810467
22	0	4.48863637	-0.026202372	-0.118861203	4.010241515
23	0	4.922168313	-0.175448678	-0.280048448	4.463018749
24	0	4.754451889	-0.071458964	-0.083881484	4.328857838
25	0	4.695924549	-0.047067511	-0.175448678	4.388385687
26	0	5.245443877	-0.059188871	-0.105999289	4.64998632
27	0	5.575949103	-0.151758906	-0.083881484	4.539661882
28	0	4.86907173	-0.008658063	-0.083881484	4.721426225
29	0	4.604169686	-0.032119549	-0.109199292	4.247546243
30	0	4.827513417	-0.008658063	-0.105999289	4.634400248
31	0	4.574710979	-0.074550157	-0.071458964	4.246219207
32	0	4.865994804	-0.122102697	-0.280048448	4.484066418
33	0	4.727387819	-0.109199292	-0.175448678	4.293643172
34	0	4.763028271	0.044951388	-0.122102697	4.467999979
35	0	4.962145085	-0.080761357	-0.105999289	4.482227804
36	0	4.561218298	-0.165227123	-0.04405999	4.177608719
37	0	4.609162207	-0.062242309	-0.074550157	4.258405724
38	0	4.693181063	-0.065305098	-0.280048448	4.253624658
39	0	4.685828089	0.002869442	-0.118861203	4.359402704
40	0	4.163559631	-0.074550157	-0.105999289	4.303398314
41	0	4.858260814	-0.026202372	-0.151758906	4.453613592
42	0	4.810557016	-0.250083659	-0.280048448	4.385756661
